Sensor Time (sensor clock units), Pressure (Uncompensated ADC Units), Temperature (Uncompensated ADC Unit)
7084, 6802432, 8569856
8867, 6803200, 8570880
10483, 6803712, 8571648
12071, 6803712, 8571904
13665, 6803712, 8571904
15258, 6803712, 8572928
16864, 6803712, 8573184
18479, 6803968, 8572928
20095, 6804224, 8573440
21741, 6803968, 8573440
23331, 6804480, 8573184
24928, 6804224, 8573952
26520, 6804736, 8573952
28110, 6803968, 8574208
29716, 6804736, 8574208
31330, 6803968, 8574976
32948, 6804992, 8574976
34578, 6804480, 8575232
36189, 6805248, 8576000
37808, 6804736, 8576000
39429, 6804480, 8576000
41054, 6805248, 8576512
42670, 6805248, 8577024
44287, 6805760, 8577024
45901, 6805760, 8577280
47496, 6805760, 8577536
49115, 6806528, 8577536
50732, 6806272, 8578560
52350, 6806016, 8578048
53952, 6806272, 8578048
55569, 6806016, 8578816
57184, 6806528, 8579072
58803, 6805760, 8579072
60423, 6806784, 8579072
62041, 6806784, 8579584
63658, 6806272, 8579584
65275, 6807040, 8579840
66918, 6806272, 8580352
68518, 6806016, 8579840
70135, 6806016, 8579840
71749, 6806272, 8580096
73348, 6807040, 8579584
74961, 6807040, 8579584
76578, 6806784, 8579328
78171, 6806784, 8579328
79775, 6806784, 8579072
81388, 6806528, 8579072
83004, 6806528, 8579072
84623, 6807040, 8578816
86240, 6806016, 8579328
87861, 6806016, 8578816
89476, 6806272, 8578048
91070, 6806016, 8578048
92675, 6806528, 8577792
94288, 6805760, 8577792
95899, 6805248, 8577792
97493, 6806016, 8577792
99090, 6806272, 8578304
100743, 6807040, 8578816
102353, 6806528, 8578816
103978, 6807040, 8579840
105596, 6806528, 8579072
107210, 6807552, 8579328
108827, 6806272, 8578816
110446, 6806272, 8579584
112066, 6806528, 8578816
113680, 6806528, 8578816
115297, 6806528, 8578560
116898, 6806016, 8578560
118515, 6807040, 8578304
120130, 6806016, 8578560
121748, 6806016, 8577792
123362, 6806016, 8577792
124979, 6806784, 8577536
126594, 6806528, 8577280
128211, 6806016, 8577280
129838, 6805760, 8577536
131493, 6806016, 8576768
133093, 6805760, 8576768
134708, 6805248, 8577024
136325, 6805504, 8577024
137920, 6806272, 8576256
139535, 6806016, 8576768
141128, 6806016, 8576768
142732, 6806272, 8576512
144345, 6805760, 8576512
145959, 6806016, 8576256
147578, 6806528, 8576512
149196, 6806016, 8576256
150814, 6806016, 8576256
152429, 6805760, 8576512
154021, 6805504, 8576256
155626, 6806016, 8576256
157236, 6805248, 8575488
158853, 6805760, 8575744
160466, 6805760, 8576000
162060, 6805248, 8575232
163713, 6805248, 8574976
165314, 6805248, 8575232
166912, 6804992, 8574720
168527, 6804480, 8574976
170142, 6804992, 8574720
171761, 6805504, 8574720
173376, 6805248, 8574976
174971, 6804992, 8574720
176588, 6804736, 8574720
178204, 6805760, 8574976
179803, 6805760, 8574464
181417, 6805504, 8574208
183036, 6804736, 8574464
184652, 6805504, 8574720
186244, 6805248, 8574208
187838, 6804992, 8574720
189454, 6804992, 8574720
191070, 6805248, 8574720
192668, 6805504, 8574720
194284, 6805504, 8574720
195938, 6806016, 8574464
197545, 6805248, 8574208
199164, 6804736, 8574720
200782, 6805248, 8574464
202396, 6805760, 8574976
203988, 6805248, 8575232
205588, 6805504, 8576000
207200, 6805504, 8576000
208819, 6805504, 8576512
210438, 6806016, 8576768
212055, 6805248, 8576768
213649, 6806016, 8576768
